index, mean, stdev, tail99
0,0.8396167452830189,0.018796904923147218,0.848
1,0.8665363057324841,0.026804582156208824,0.923
2,0.8963325330132053,0.03185616097434247,0.96
3,0.925939393939394,0.04445692460221732,1.038
4,0.9537976331360948,0.06497400841525698,1.092
5,1.009688981868898,0.06229900056460254,1.13
6,1.0640074738415546,0.07133860983758188,1.199
7,1.1089438377535101,0.09225087866742969,1.273
8,1.1683148450244696,0.11631817922038515,1.414
9,1.23654358974359,0.12637429914563184,1.495
10,1.1349197324414717,0.2524868424240218,1.592
11,1.4019226305609285,0.1711575162472717,1.79
12,1.423857142857143,0.32697013294453675,2.091
14,1.8096952141057931,0.34816748814438836,2.574
15,1.9134805194805196,0.48928540552735456,2.772
21,6.76147311827957,1.795718208318325,10.589
132,1.6562937853107345,0.15477132253024725,2.183
162,2.250648464163823,0.3210045601188481,3.298
172,2.611963302752294,0.49224467934289085,4.24
182,3.0141935483870967,0.4504558087729599,4.343
192,3.6770000000000005,0.8024793062983225,5.226
222,10.236545454545453,3.27079344549383,13.502
232,13.468809523809522,1.2937519678033387,14.54
202,4.5233384615384615,0.9711915168322177,6.876
