Index, Mean, Stdev, Tail99
2,0.1542550505050505,0.0018895690316565242,0.163
4,0.1557638326585695,0.002003933619934419,0.164
6,0.15586873920552677,0.001899015370549197,0.166
8,0.15774611398963728,0.0023814477086593587,0.169
10,0.15669942196531791,0.002012058937696927,0.164
12,0.15814500941619586,0.0036364534042791297,0.172
14,0.1596436170212766,0.0038915636662170804,0.174
16,0.1720499001996008,0.01963071000853361,0.251
18,0.21028364389233953,0.043719796217949435,0.34
20,0.2829933333333333,0.08832447729190866,0.473
22,0.6862063492063492,0.21042045276972143,1.05
