index, mean, stdev, tail99
0,0.1585797969915617,0.019737807432643976,0.166
1,0.1572736896021854,0.024007668641258667,0.165
2,0.15841698777014573,0.023604332999355528,0.165
3,0.15876644028490972,0.02291271104534976,0.169
4,0.15663089485085818,0.022735561448753442,0.166
5,0.15734137438501825,0.02225374402091462,0.164
6,0.1572186928321969,0.022485346111999874,0.162
7,0.15699443413729128,0.02265548892280506,0.162
8,0.16103081425374416,0.0240971790376128,0.169
92,0.1575810644651326,0.022795002236324493,0.164
102,0.15751053429967976,0.022322010157453425,0.163
112,0.15753474936278675,0.022751668667290906,0.163
122,0.1584936949386768,0.023264055443366047,0.166
14,0.23242301241194233,0.10060281837600651,0.575
15,0.20384207509314992,0.10271759611875227,0.638
75,0.15662336309523806,0.0255383573906663,0.162
85,0.15861977834612107,0.050942175241789504,0.167
125,0.15979372822299653,0.027355570813075356,0.177
145,0.21094390167034355,0.10334682704723124,0.541
50,0.4234367373153501,0.08037177191263163,0.625
